pt_root_id,grid_x,grid_y
720575940629263888,18,12
720575940639179891,18,16
720575940623132510,25,9
720575940646814340,11,11
720575940630126966,15,24
720575940622805065,17,17
720575940640325429,17,17
720575940634388927,16,15
720575940613358450,11,16
720575940617672920,17,12
720575940615526978,13,11
720575940626555440,18,19
720575940616748756,18,19
720575940641585627,11,19
720575940622559476,2,12
720575940624366315,18,23
720575940611633010,22,15
720575940622859021,17,15
720575940638149865,19,22
720575940626477498,3,13
720575940630550058,19,10
720575940622594186,17,16
720575940615030568,17,23
720575940627438110,0,18
720575940622898957,14,24
720575940628743496,23,20
720575940619704235,13,10
720575940610621026,18,20
720575940624471373,21,18
720575940613558509,16,12
720575940624587046,16,16
720575940626012208,0,17
720575940625987390,10,20
720575940611697394,18,23
720575940621354736,14,22
720575940628467830,17,21
720575940625466387,17,19
720575940627236629,16,21
720575940634257890,16,21
720575940616793246,18,20
720575940623982794,11,19
720575940629413962,19,6
720575940640722851,3,16
720575940619559232,17,21
720575940624426643,2,18
720575940608257714,1,10
720575940642545883,9,19
720575940615584162,27,23
720575940625374472,20,17
720575940608176258,17,19
720575940627448860,19,18
720575940622002086,12,22
720575940630771959,17,10
720575940632311115,8,6
720575940631599980,26,17
720575940645693988,17,16
720575940634258131,13,5
720575940631365596,18,14
720575940611498419,11,20
720575940615345558,20,20
720575940626097678,19,17
720575940628238217,17,14
720575940624124109,17,21
720575940628236169,20,10
720575940622086663,10,14
720575940614392682,18,14
720575940622329782,0,17
720575940622671655,10,21
720575940619155995,18,15
720575940613019541,14,21
720575940618594022,11,10
720575940616861697,17,11
720575940623444044,3,25
720575940632458514,11,21
720575940631299855,17,19
720575940618229051,15,11
720575940621619627,15,11
720575940629198279,17,15
720575940645995543,18,15
720575940661335681,12,22
720575940614456332,17,11
720575940606391218,11,12
720575940636098367,16,22
720575940630668538,1,14
720575940634825367,10,18
720575940631999685,5,15
720575940606137772,28,18
720575940621566941,18,17
720575940610209378,17,16
720575940644438551,17,17
720575940627300627,12,19
720575940631562065,25,18
720575940638088262,16,16
720575940615626562,17,16
720575940618772719,18,19
720575940619669157,18,19
720575940615097490,16,11
720575940645579556,20,5
720575940616923281,14,8
720575940631584876,9,15
720575940631622393,14,12
720575940621519130,17,16
720575940632189900,12,13
720575940627702547,15,4
720575940629041879,17,15
720575940620124143,17,18
720575940631842360,21,10
720575940626085562,14,22
720575940636053678,11,25
720575940630682618,18,22
720575940620297819,13,21
720575940614235323,11,24
720575940634645867,11,13
720575940622724521,3,7
720575940630881337,16,13
720575940622186376,10,10
720575940612861146,24,28
720575940624514762,27,12
720575940629873423,11,20
720575940639769997,19,13
720575940624691789,18,13
720575940608215817,18,12
720575940628252751,11,20
720575940634838926,9,17
720575940627278321,7,14
720575940616546233,18,21
720575940612649122,20,18
720575940617208374,26,27
720575940647029556,13,22
720575940631730259,26,19
720575940628257730,20,18
720575940610622158,20,17
720575940615289650,19,20
720575940618608805,18,19
720575940628213303,20,17
720575940612843762,13,18
720575940628290307,11,11
720575940642210504,12,18
720575940645907491,12,17
720575940623245493,27,23
720575940612181106,21,18
720575940619512246,19,12
720575940642926702,11,24
720575940623352649,11,19
720575940637485146,16,10
720575940611860121,14,10
720575940618884289,20,17
720575940611943190,25,29
720575940606482110,24,24
720575940606970377,9,17
720575940627515225,0,20
720575940626359368,11,19
720575940618824613,20,17
720575940627247802,14,12
720575940645394468,26,26
720575940638306101,19,18
720575940626982181,13,15
720575940632187729,19,21
720575940626027752,18,21
720575940633119127,19,16
720575940622362109,19,21
720575940634782359,17,26
720575940628375306,12,11
720575940612335539,16,21
720575940637659749,15,21
720575940626806033,17,20
720575940622123400,11,20
720575940617295321,19,21
720575940606084444,18,14
720575940618571344,20,17
720575940610012565,11,19
720575940639630325,12,19
720575940624619036,17,11
720575940606966281,15,22
720575940612603289,16,21
720575940620978458,12,10
720575940635628695,25,24
720575940631353820,13,10
720575940603569836,10,20
720575940626745987,11,20
720575940616303680,11,12
720575940626548753,16,10
720575940630949805,19,17
720575940619683648,0,15
720575940611976618,11,20
720575940636707391,20,17
720575940629956695,11,21
720575940618916123,18,11
720575940626211472,26,11
720575940626729295,11,20
720575940618786798,16,26
720575940621068464,17,18
720575940647000708,17,18
720575940639082318,18,17
720575940620595883,17,21
720575940622608423,17,8
720575940639147236,25,24
720575940614361868,19,16
720575940637312445,10,6
720575940638799987,24,22
720575940626580794,17,21
720575940629202962,13,23
720575940646554659,11,18
720575940618171073,14,22
720575940628417280,11,23
720575940615043222,17,14
720575940631282732,17,14
720575940647755641,12,16
720575940629496582,25,26
720575940612288947,18,21
720575940633117591,19,19
720575940612815597,27,25
720575940617794939,19,22
720575940626319902,9,16
720575940628861660,17,12
720575940628493415,15,20
720575940612359343,12,11
720575940611935698,0,15
720575940625230366,16,16
720575940637073118,22,16
720575940624372738,14,21
720575940622072299,13,22
720575940620357597,11,21
720575940619003969,11,21
720575940622328328,12,21
720575940635591776,10,22
720575940627200004,13,22
720575940633800860,19,17
720575940616553300,13,24
720575940629486714,13,17
720575940627372090,14,20
720575940620082598,12,21
720575940616261844,14,21
720575940629739068,13,16
720575940627585730,14,22
720575940643142560,8,15
720575940630839213,14,22
720575940603605024,14,22
720575940625175059,13,20
720575940644648244,14,22
720575940637374323,16,21
720575940611061038,17,17
720575940613958194,15,24
720575940633969815,17,25
720575940623776743,10,16
720575940645246004,17,22
720575940611514261,6,6
720575940625119671,17,21
720575940609541917,11,20
720575940621147998,16,15
720575940638453437,17,16
720575940617871394,16,22
720575940632847661,16,16
720575940627372165,17,23
720575940621553348,15,23
720575940629312768,17,16
720575940633416604,19,22
720575940629044854,21,19
720575940619487425,18,12
720575940635164779,17,23
720575940635487845,15,20
720575940639245631,18,21
720575940628400650,17,17
720575940624524215,8,16
720575940623697898,18,24
720575940619110347,10,20
720575940625356163,18,21
720575940624003255,19,21
720575940626638108,19,20
720575940636996159,11,19
720575940626966289,10,20
720575940627234069,18,25
720575940628306114,12,25
720575940615623586,19,21
720575940646530414,12,21
720575940612547698,16,25
720575940612358642,19,18
720575940606946690,8,4
720575940633789011,2,14
720575940623161385,16,15
720575940629436124,18,15
720575940605513649,16,20
720575940627753103,10,20
720575940610612197,19,22
720575940617889915,19,21
720575940624131913,18,22
720575940611682522,18,22
720575940636113215,19,22
720575940614046098,18,21
720575940637571125,20,21
720575940638638926,19,21
720575940624574717,19,21
720575940621471157,18,21
720575940617878306,18,21
720575940605187970,17,21
720575940638440051,10,19
720575940620929483,12,20
720575940613626521,17,20
720575940622760269,18,21
720575940645125508,19,23
720575940619346102,17,23
720575940610487410,18,23
720575940645753476,14,21
720575940633246871,13,20
720575940613950530,13,20
720575940623134157,17,22
720575940619998740,17,21
720575940620183462,13,20
720575940638654141,11,20
720575940629843986,15,22
720575940634726810,14,22
720575940628911415,17,19
720575940630346538,12,17
720575940623812284,17,21
720575940642454216,14,22
720575940626858695,17,16
720575940612015730,14,22
720575940614801458,12,17
720575940631335491,11,22
720575940648635524,18,17
720575940611616302,15,22
720575940626565455,11,20
720575940627941431,11,20
720575940624799290,11,20
720575940625962568,11,20
720575940611061526,11,20
720575940627109991,11,20
720575940615848788,11,19
720575940630080071,11,21
720575940621625597,11,20
720575940618941037,11,20
720575940622937528,11,21
720575940615469785,11,20
720575940632615379,10,20
720575940609019093,16,22
720575940618398086,16,22
720575940620983902,19,18
720575940617618137,16,23
720575940621391850,16,22
720575940622153385,16,21
720575940613879227,18,22
720575940612836374,16,23
720575940632607935,16,22
720575940616817625,19,19
720575940606428850,15,22
720575940632957092,0,12
720575940633750611,2,22
720575940627812168,12,26
720575940625863728,15,19
720575940633816986,12,24
720575940625653029,12,23
720575940634459290,17,17
720575940619877396,17,26
720575940632644639,16,23
720575940638836285,16,22
720575940630175276,17,20
720575940637388004,19,23
720575940620552326,16,22
720575940613522413,16,21
720575940618066555,18,22
720575940623646963,19,23
720575940622766925,18,21
720575940611227029,17,17
720575940611025874,15,23
720575940624387992,18,23
720575940631083833,18,21
720575940624568416,18,18
720575940621567564,21,18
720575940625363808,18,21
720575940620882603,17,20
720575940611932586,16,12
720575940627640817,20,19
720575940612718563,18,15
720575940605076401,18,18
720575940618398878,21,17
720575940616414859,11,17
720575940622303446,10,18
720575940611813362,10,22
720575940608672092,12,21
720575940623900052,9,15
720575940659709313,17,15
720575940615354054,11,21
720575940636686170,10,22
720575940634523232,11,18
720575940623388198,12,20
720575940637661759,15,24
720575940613656231,17,19
720575940630937660,18,20
720575940624810782,15,23
720575940615990614,18,19
720575940635462757,17,18
720575940610640482,17,16
720575940628876111,18,17
720575940628884267,17,22
720575940620055454,17,23
720575940626462014,11,14
720575940627760640,13,20
720575940608508681,12,22
720575940615465913,13,21
720575940630790723,11,21
720575940639764083,13,21
720575940641259392,12,25
720575940638558953,18,20
720575940618092289,18,24
720575940615520159,18,24
720575940632930711,21,20
720575940612268199,17,24
720575940629946951,17,26
720575940626669355,17,23
720575940628832516,16,23
720575940622168052,18,17
720575940618599872,11,19
720575940614316650,19,21
720575940625489764,17,21
720575940641781152,14,22
720575940606224318,13,21
720575940628746690,16,20
720575940626768442,19,10
720575940622443007,19,15
720575940622137443,18,17
720575940611900950,0,17
720575940638097630,1,20
720575940622344170,11,21
720575940620382889,11,21
720575940622300429,18,18
720575940610583961,2,8
720575940641921421,11,19
720575940639062618,1,10
720575940614213599,25,25
720575940619641771,24,17
720575940635634021,12,20
720575940639711566,11,20
720575940617562171,0,18
720575940620860766,13,24
720575940619932654,11,20
720575940627977457,12,20
720575940628978450,11,19
720575940640719861,11,20
720575940634609115,19,20
720575940607765259,19,19
720575940630969051,18,20
720575940611684787,11,19
720575940611088563,11,21
720575940626977167,17,10
720575940619048315,12,20
720575940619657972,11,16
720575940619241456,12,13
720575940629449027,11,21
720575940630834683,11,20
720575940619218078,17,22
720575940615860748,18,20
720575940638193242,1,21
720575940627826206,1,16
720575940625558515,1,22
720575940611118894,26,24
720575940642198747,11,16
720575940625622968,18,10
720575940629352041,1,20
720575940630161914,5,12
720575940619811638,9,11
720575940616138911,27,24
720575940632045839,13,21
720575940640230205,28,19
720575940624269706,6,13
720575940616154527,12,13
720575940632450115,19,20
720575940633157919,13,17
720575940627166851,12,11
720575940613112293,13,25
720575940630247579,22,15
720575940624095172,17,20
720575940635547802,19,19
720575940631445591,25,16
720575940607451081,11,24
720575940607880578,17,21
720575940618627412,16,21
720575940627972485,15,7
720575940625352852,17,17
720575940609765333,19,7
720575940629502251,17,16
720575940633413715,7,16
720575940632486969,12,24
720575940631207388,21,11
720575940618574749,12,23
720575940626348080,0,19
720575940629179722,1,11
720575940633232159,1,18
720575940611719378,19,15
720575940627031810,21,5
720575940634935065,2,15
720575940615281361,19,14
720575940624651189,12,20
720575940624342825,17,22
720575940613510002,13,24
720575940630460919,13,15
720575940625868519,1,19
720575940629136881,25,14
720575940614845708,7,15
720575940622248453,14,23
720575940627170759,21,6
720575940621611302,12,15
720575940627290129,12,20
720575940612957480,5,15
720575940621368858,17,21
720575940641627099,19,20
720575940612662499,18,21
720575940635872101,10,12
720575940623747145,26,16
720575940629643003,12,9
720575940632344607,7,7
720575940615430230,16,21
720575940617797259,24,19
720575940631706107,10,21
720575940631715896,17,22
720575940612804606,17,18
720575940615056081,20,17
720575940628781527,20,17
720575940619822784,20,12
720575940627942010,19,15
720575940627732935,8,14
720575940619636615,11,16
720575940623919287,20,5
720575940621351551,26,21
720575940604456364,12,14
720575940620119023,19,16
720575940628627867,16,17
720575940625376062,18,21
720575940625737859,10,19
720575940619061317,26,18
720575940627055303,14,11
720575940624539993,12,21
720575940643524808,16,19
720575940638109668,12,21
720575940629701484,13,14
720575940647081860,12,12
720575940631742381,14,23
720575940632192075,14,0
720575940627253510,21,6
720575940610056601,17,15
720575940644297239,12,14
720575940624378556,16,23
720575940629459718,17,14
720575940604737708,18,16
720575940619681006,18,16
720575940610116581,19,20
720575940628471916,19,20
720575940632413970,17,20
720575940618807454,19,11
720575940615541810,10,22
720575940629780858,17,26
720575940619878961,25,13
720575940636479668,16,15
720575940627946795,13,14
720575940650798582,10,16
720575940638175558,18,20
720575940622793668,18,20
720575940628343818,13,10
720575940610604078,15,21
720575940614730914,12,19
720575940608145026,13,10
720575940633774187,10,20
720575940639159797,10,21
720575940617997396,11,16
720575940659340673,11,18
720575940628226697,29,18
720575940639235300,11,18
720575940618097573,18,19
720575940614377955,0,16
720575940612082322,6,18
720575940616420150,19,18
720575940660219265,18,26
720575940632041676,18,21
720575940642894628,19,12
720575940613461043,10,20
720575940646764579,11,21
720575940607923721,10,19
720575940628686595,10,11
720575940639454848,19,21
720575940610507106,12,16
720575940603885856,17,16
720575940623484100,10,21
720575940621642155,12,19
720575940615001686,12,10
720575940624885250,12,11
720575940618703636,21,20
720575940638664355,11,16
720575940624675988,16,24
720575940623432918,16,5
720575940614181585,18,21
720575940624342569,18,21
