pre_pt_root_id,post_pt_root_id,synapse_count,nt_type
720575940626783881,720575940623228967,292.0,glut
720575940611633010,720575940644438551,287.0,glut
720575940626279486,720575940639425112,273.0,gaba
720575940632080977,720575940624269706,246.0,ach
720575940647081860,720575940614963359,220.0,glut
720575940632722515,720575940635771316,214.0,ach
720575940625447994,720575940644438551,208.0,ach
720575940619403942,720575940641480949,203.0,ach
720575940622161366,720575940641480949,200.0,gaba
720575940620297819,720575940644438551,198.0,glut
720575940640325429,720575940631715896,191.0,ach
720575940606391218,720575940614963359,190.0,glut
720575940613347299,720575940641480949,186.0,ach
720575940611164770,720575940639170723,174.0,ach
720575940621319924,720575940644438551,174.0,gaba
720575940638088511,720575940619035003,173.0,gaba
720575940634243484,720575940608188427,167.0,gaba
720575940631083833,720575940626555440,164.0,gaba
720575940621319924,720575940628627867,159.0,gaba
720575940612308963,720575940635771316,152.0,ach
720575940621768436,720575940644438551,151.0,glut
720575940622898957,720575940641480949,148.0,gaba
720575940625458064,720575940628627867,147.0,ach
720575940622105182,720575940639170723,147.0,ach
720575940624124109,720575940631715896,146.0,glut
720575940626085562,720575940631715896,146.0,gaba
720575940623702345,720575940644438551,140.0,gaba
720575940629701484,720575940626555440,139.0,ach
720575940632847661,720575940641480949,135.0,glut
720575940626462014,720575940630937660,125.0,gaba
720575940606607234,720575940608188427,121.0,glut
720575940627234069,720575940639425112,121.0,glut
720575940628627867,720575940641480949,119.0,ach
720575940619636615,720575940614963359,118.0,ach
720575940637929956,720575940644438551,118.0,ach
720575940622506022,720575940645282158,118.0,gaba
720575940628417280,720575940644438551,117.0,ach
720575940631968343,720575940619035003,110.0,glut
720575940617672920,720575940635771316,110.0,glut
720575940619877396,720575940639425112,109.0,ach
720575940627493148,720575940614963359,107.0,ach
720575940635164779,720575940641480949,107.0,glut
720575940616923281,720575940645282158,105.0,gaba
720575940652104694,720575940639425112,105.0,gaba
720575940616923281,720575940646682676,103.0,gaba
720575940632180684,720575940631715896,103.0,ach
720575940622161366,720575940628627867,103.0,gaba
720575940625617948,720575940646682676,103.0,glut
720575940625617948,720575940645282158,102.0,glut
720575940629123454,720575940622540899,101.0,glut
720575940614377955,720575940628062714,98.0,gaba
720575940624788372,720575940631715896,97.0,ach
720575940646443316,720575940631715896,96.0,gaba
720575940630126966,720575940641480949,96.0,glut
720575940631335491,720575940622540899,93.0,ach
720575940639170723,720575940639425112,92.0,ach
720575940624366315,720575940639425112,91.0,gaba
720575940624766700,720575940617290043,89.0,ach
720575940612718563,720575940630937660,89.0,gaba
720575940613958194,720575940608188427,88.0,gaba
720575940622506022,720575940646682676,86.0,gaba
720575940630550058,720575940639170723,85.0,ach
720575940615043222,720575940644438551,83.0,ach
720575940616748756,720575940619035003,83.0,glut
720575940612517928,720575940619035003,83.0,glut
720575940632486969,720575940631715896,83.0,ach
720575940624568416,720575940639425112,82.0,gaba
720575940646682676,720575940645282158,82.0,ach
720575940622859021,720575940622540899,79.0,glut
720575940625053186,720575940635771316,78.0,glut
720575940629701484,720575940619035003,76.0,ach
720575940631584876,720575940635771316,76.0,oct
720575940628129129,720575940608188427,76.0,glut
720575940624538599,720575940630937660,75.0,gaba
720575940626990086,720575940619035003,74.0,glut
720575940620833974,720575940619035003,74.0,ach
720575940645579556,720575940639170723,74.0,ach
720575940625597317,720575940619035003,72.0,ach
720575940645282158,720575940646682676,71.0,ach
720575940626977067,720575940635771316,69.0,gaba
720575940627027087,720575940619035003,69.0,ach
720575940631494099,720575940611932586,68.0,gaba
720575940620038779,720575940626555440,68.0,ach
720575940619625837,720575940611719378,68.0,glut
720575940616817625,720575940619035003,67.0,gaba
720575940630715203,720575940628062714,66.0,ach
720575940623385894,720575940639425112,66.0,ach
720575940622479732,720575940626555440,66.0,gaba
720575940611682522,720575940619035003,66.0,gaba
720575940624568416,720575940641480949,65.0,gaba
720575940610549060,720575940631584876,65.0,glut
720575940628244064,720575940619035003,65.0,glut
720575940619403942,720575940644438551,64.0,ach
720575940641627099,720575940619035003,64.0,ach
720575940622057057,720575940632076751,63.0,ach
720575940627552125,720575940635771316,63.0,glut
720575940620686964,720575940644438551,63.0,ach
720575940631083833,720575940628471916,63.0,gaba
720575940607982428,720575940622540899,62.0,ach
720575940626641916,720575940619035003,62.0,gaba
720575940639625635,720575940619035003,62.0,gaba
720575940634459290,720575940641480949,61.0,ach
720575940613558509,720575940626555440,61.0,ach
720575940624434323,720575940639170723,60.0,ach
720575940613347299,720575940644438551,60.0,ach
720575940621068464,720575940641480949,60.0,ach
720575940613958194,720575940641480949,59.0,gaba
720575940640100440,720575940628627867,58.0,ach
720575940612718563,720575940626768442,57.0,gaba
720575940625863728,720575940641480949,57.0,ach
720575940612603289,720575940639425112,57.0,ach
720575940633116256,720575940618338521,57.0,glut
720575940631494099,720575940624458227,56.0,gaba
720575940620882603,720575940630937660,55.0,gaba
720575940619998630,720575940614963359,55.0,glut
720575940618772719,720575940619035003,55.0,ach
720575940628446010,720575940628627867,54.0,gaba
720575940635547802,720575940619035003,54.0,ach
720575940625466387,720575940619035003,53.0,glut
720575940626462014,720575940626768442,53.0,gaba
720575940625958922,720575940635771316,53.0,gaba
720575940645541155,720575940635771316,52.0,gaba
720575940612557994,720575940641480949,52.0,ach
720575940618931846,720575940644438551,52.0,glut
720575940619636615,720575940622540899,51.0,ach
720575940610549060,720575940611719378,51.0,glut
720575940626730883,720575940641480949,50.0,ach
720575940624705514,720575940626555440,50.0,glut
720575940627015196,720575940631715896,50.0,gaba
720575940620310357,720575940611932586,50.0,gaba
720575940635211115,720575940628627867,49.0,gaba
720575940621319924,720575940641480949,49.0,glut
720575940620124143,720575940628627867,49.0,ach
720575940613915823,720575940626555440,48.0,ach
720575940632469964,720575940631584876,48.0,ach
720575940633157919,720575940641480949,48.0,glut
720575940608176258,720575940618338521,47.0,gaba
720575940620310357,720575940626555440,47.0,gaba
720575940620474278,720575940628627867,46.0,gaba
720575940631250744,720575940626555440,46.0,glut
720575940624434323,720575940628627867,46.0,ach
720575940625873712,720575940639425112,46.0,gaba
720575940623132621,720575940639425112,46.0,gaba
720575940622303446,720575940613636325,45.0,ach
720575940627801877,720575940614963359,45.0,glut
720575940634782359,720575940631715896,45.0,glut
720575940655013281,720575940608188427,45.0,ach
720575940625863728,720575940639425112,45.0,ach
720575940620310357,720575940620460272,44.0,gaba
720575940629812602,720575940641480949,43.0,gaba
720575940620995660,720575940632076751,43.0,gaba
720575940622066390,720575940608188427,42.0,ach
720575940634539700,720575940619035003,42.0,gaba
720575940636308075,720575940630126966,41.0,ach
720575940609750482,720575940619035003,41.0,glut
720575940606888393,720575940627808857,41.0,glut
720575940627099338,720575940641480949,41.0,ach
720575940651986166,720575940626555440,41.0,ach
720575940645556334,720575940631715896,41.0,gaba
720575940628493415,720575940623982794,40.0,gaba
720575940630247579,720575940627808857,40.0,ach
720575940642545883,720575940631715896,40.0,ach
720575940626462014,720575940613636325,40.0,gaba
720575940630649448,720575940631715896,40.0,ach
720575940632650271,720575940626555440,39.0,ach
720575940659476865,720575940626555440,39.0,gaba
720575940633554636,720575940628627867,39.0,gaba
720575940624574717,720575940631715896,39.0,glut
720575940621068464,720575940639425112,38.0,ach
720575940623385894,720575940639170723,38.0,ach
720575940661335681,720575940641480949,37.0,gaba
720575940620124143,720575940632469964,37.0,ach
720575940631365596,720575940608188427,37.0,glut
720575940619625837,720575940631584876,37.0,glut
720575940627493148,720575940623228967,37.0,ach
720575940628493415,720575940610269304,37.0,gaba
720575940640325429,720575940619559232,37.0,ach
720575940632486969,720575940608188427,36.0,ach
720575940622559476,720575940610056601,36.0,glut
720575940628226697,720575940628062714,35.0,gaba
720575940628785468,720575940627423740,35.0,glut
720575940640978048,720575940628627867,35.0,ach
720575940632650271,720575940646682676,35.0,ach
720575940613739410,720575940626555440,34.0,glut
720575940624925989,720575940619035003,34.0,ach
720575940632650271,720575940645282158,34.0,ach
720575940622303446,720575940608188427,34.0,ach
720575940614933043,720575940626555440,34.0,glut
720575940611934706,720575940644438551,33.0,ach
720575940619559232,720575940631715896,33.0,ach
720575940634243484,720575940641480949,33.0,gaba
720575940611384946,720575940619035003,33.0,gaba
720575940617663093,720575940619035003,33.0,ach
720575940635960292,720575940619035003,33.0,ach
720575940618931846,720575940628627867,33.0,glut
720575940637126007,720575940628627867,33.0,ach
720575940651986166,720575940646682676,33.0,ach
720575940624675988,720575940631715896,32.0,ach
720575940615289650,720575940619035003,32.0,gaba
720575940635464343,720575940635771316,32.0,ach
720575940631562065,720575940610056601,32.0,ach
720575940651986166,720575940645282158,31.0,ach
720575940625873712,720575940641480949,31.0,gaba
720575940622949256,720575940632994274,31.0,glut
720575940613522413,720575940614963359,31.0,gaba
720575940637388004,720575940614963359,31.0,ach
720575940622248453,720575940631715896,31.0,ach
720575940635634021,720575940610269304,31.0,gaba
720575940632847661,720575940644438551,31.0,glut
720575940625052942,720575940619035003,31.0,gaba
720575940631622393,720575940635771316,31.0,ach
720575940613958194,720575940639425112,30.0,gaba
720575940621519130,720575940631715896,30.0,ach
720575940604456364,720575940623228967,30.0,ach
720575940621611302,720575940635771316,30.0,gaba
720575940611934706,720575940646682676,29.0,ach
720575940633116256,720575940620460272,29.0,glut
720575940628471916,720575940619035003,29.0,gaba
720575940633211975,720575940626555440,29.0,ach
720575940611562675,720575940618772719,29.0,gaba
720575940620474278,720575940639170723,29.0,gaba
720575940622971085,720575940635771316,29.0,glut
720575940617663093,720575940635771316,28.0,ach
720575940645693988,720575940611719378,28.0,ach
720575940615030568,720575940631715896,28.0,ach
720575940635170484,720575940635771316,28.0,ach
720575940632644639,720575940630937660,28.0,ach
720575940618058048,720575940622540899,28.0,gaba
720575940605188226,720575940637032670,28.0,glut
720575940630937660,720575940628471916,28.0,ach
720575940628746690,720575940631715896,28.0,ach
720575940615420102,720575940622540899,28.0,glut
720575940618807454,720575940613636325,28.0,ach
720575940634609115,720575940619035003,28.0,ach
720575940619669157,720575940626555440,28.0,gaba
720575940614619282,720575940611719378,27.0,ach
720575940637661759,720575940608188427,27.0,glut
720575940616414859,720575940625400420,26.0,ach
720575940618332757,720575940614963359,26.0,ach
720575940635634021,720575940623982794,26.0,gaba
720575940646814340,720575940619035003,26.0,ach
720575940631445591,720575940632076751,26.0,gaba
720575940623603726,720575940614963359,26.0,glut
720575940626784137,720575940626555440,26.0,gaba
720575940632469964,720575940614619282,26.0,ach
720575940619403942,720575940639170723,26.0,ach
720575940632847661,720575940639170723,26.0,glut
720575940639235300,720575940614963359,26.0,ach
720575940624434323,720575940644438551,26.0,ach
720575940620055454,720575940639425112,26.0,ach
720575940655013281,720575940631715896,25.0,ach
720575940629202626,720575940614963359,25.0,ach
720575940630715203,720575940631445591,25.0,ach
720575940619636615,720575940623228967,25.0,ach
720575940617401122,720575940614963359,25.0,ach
720575940637374323,720575940630937660,25.0,glut
720575940660742785,720575940611498419,25.0,ach
720575940629701484,720575940647100548,25.0,ach
720575940632469964,720575940611719378,25.0,ach
720575940612718563,720575940646682676,25.0,gaba
720575940631091407,720575940644438551,25.0,glut
720575940628627867,720575940644438551,24.0,ach
720575940626436741,720575940630937660,24.0,glut
720575940621477312,720575940631715896,24.0,ach
720575940628306114,720575940641480949,24.0,glut
720575940612992986,720575940628062714,24.0,glut
720575940638175558,720575940646764579,24.0,ach
720575940627826206,720575940633789011,24.0,gaba
720575940626085562,720575940641480949,24.0,gaba
720575940621567564,720575940632994274,23.0,ach
720575940612517928,720575940618772719,23.0,glut
720575940624619036,720575940635771316,23.0,glut
720575940624458227,720575940635771316,23.0,glut
720575940615990614,720575940630937660,23.0,glut
720575940613019541,720575940641480949,23.0,gaba
