id,created,superceded_id,valid,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,valid_nt,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
241342472,2021-03-09 20:14:58.183080+00:00,,True,380.1056,137.0,0.0010230875,0.04229296,0.0011706603,4.0787967e-05,0.9455528,0.009919642,True,80153985818265283,720575940617330107,80153985818259027,720575940642027464,[554540 263044 157000],[554456 263104 157000]
211178820,2021-03-09 20:14:58.183080+00:00,,True,130.32797,135.0,9.349987e-05,0.9551629,7.742405e-09,1.7577766e-10,0.021692963,0.023050629,True,79943154329219521,720575940617330107,79943154329225096,720575940642027464,[542772 280720 109640],[542880 280760 109680]
211178872,2021-03-09 20:14:58.183080+00:00,,True,583.71747,153.0,0.0005556576,0.9720248,7.154619e-07,6.166165e-06,0.023642356,0.0037702865,True,79943223048693150,720575940617330107,79943223048688092,720575940642027464,[542836 281100 109920],[542980 281128 109880]
144444040,2021-03-09 20:14:58.183080+00:00,,True,31.689754,18.0,0.015322297,0.96898055,0.00023688424,9.350257e-07,0.012454516,0.003004746,True,80153985818233338,720575940617330107,80153985818230633,720575940642027464,[555272 262992 156280],[555232 263024 156200]
351994,2021-03-09 20:14:58.183080+00:00,,True,431.81638,127.0,0.0015678676,0.6125439,0.06787524,2.8177075e-11,0.30963182,0.008381221,True,80365641538180991,720575940612664273,80365641538189649,720575940615899622,[566436 294276  75440],[566536 294344  75440]
351774,2021-03-09 20:14:58.183080+00:00,,True,24.955477,2.0,0.12576634,0.25754097,0.59630924,4.3204383e-07,0.014934127,0.0054488364,True,80365641538129032,720575940612921571,80365641538124998,720575940615899622,[567008 295112  74200],[567052 295064  74120]
3301168,2021-03-09 20:14:58.183080+00:00,,True,23.137735,0.0,0.053329796,0.46959993,0.36412674,0.009014475,0.024471063,0.079458036,True,78746748507927746,720575940628032768,78746748507925033,720575940653053601,[474108 272284 198720],[474128 272188 198720]
6635605,2021-03-09 20:14:58.183080+00:00,,True,23.023983,160.0,0.03456469,0.8866291,0.055362925,0.0045119543,0.011762612,0.007168711,True,80013591926923157,720575940617330107,80013591926928725,720575940623222712,[545940 282772 145800],[546048 282740 145880]
209081481,2021-03-09 20:14:58.183080+00:00,,True,17.238142,24.0,0.013943449,0.8836545,0.003371733,0.008813408,0.005032144,0.08518478,True,80013248262842206,720575940623992317,80013248262835759,720575940615899622,[546264 262552 138720],[546256 262648 138760]
99238332,2021-03-09 20:14:58.183080+00:00,,True,52.302612,2.0,0.014036975,0.9125193,0.0012814313,0.002846049,0.00043992526,0.06887643,True,79099072929247815,720575940624535554,79099072929255360,720575940628800207,[495152 300680  85960],[495144 300664  86080]
99238275,2021-03-09 20:14:58.183080+00:00,,True,27.00704,135.0,0.0024734247,0.69783556,0.00022125914,8.301226e-06,0.0011286773,0.2983328,True,79169441673411437,720575940624535554,79169441673412853,720575940628800207,[495488 301180  85640],[495528 301232  85720]
124907596,2021-03-09 20:14:58.183080+00:00,,True,476.68036,147.0,0.01813179,0.78739804,0.00023492122,0.001550475,0.0039359727,0.18874885,True,79169441673411437,720575940624535554,79169441673400358,720575940628800207,[495920 301248  85360],[495880 301408  85320]
124913195,2021-03-09 20:14:58.183080+00:00,,True,420.211,144.0,0.005872792,0.8382571,0.0002981727,2.443608e-06,0.0020871263,0.15348233,True,79169441673411437,720575940624535554,79169441673412853,720575940628800207,[495520 301208  85560],[495592 301288  85560]
2923382,2021-03-09 20:14:58.183080+00:00,,True,8.631372,0.0,0.0024081555,0.00938461,0.0021206043,0.00042943752,0.9677548,0.017902397,True,81350529481458171,720575940494908340,81350529481460706,720575940615899622,[625548 279960 199720],[625668 279960 199760]
2813040,2021-03-09 20:14:58.183080+00:00,,True,32.926765,0.0,0.06237081,0.023226516,0.38973895,0.081778124,0.15156543,0.29132017,True,77831954833630336,720575940631157329,77902323577820059,720575940632409130,[421500 268904 199680],[421688 268944 199680]
54397804,2021-03-09 20:14:58.183080+00:00,,True,20.114748,154.0,0.01331538,0.54505163,0.00058006827,2.6384838e-05,0.015065311,0.42596123,True,79309904217042797,720575940624535554,79309904217040133,720575940653053601,[507424 284784  73960],[507408 284612  73920]
24681201,2021-03-09 20:14:58.183080+00:00,,True,1086.6046,145.0,0.00010768235,0.99938786,2.6248598e-10,1.9591382e-05,1.1720392e-05,0.0004731751,True,79379517315608536,720575940615378700,79379517315615343,720575940653053601,[508172 238200 161560],[508288 238184 161520]
178355,2021-03-09 20:14:58.183080+00:00,,True,240.44438,164.0,0.01764164,0.76532286,0.0011808036,9.4983254e-05,0.022959072,0.19280055,True,79309904217044018,720575940624535554,79309904217040139,720575940653053601,[507452 284780  73960],[507512 284632  73960]
34823393,2021-03-09 20:14:58.183080+00:00,,True,238.08449,8.0,0.0012847325,0.36399648,0.61133635,2.2736816e-05,0.0070920824,0.016267568,True,78533786648131169,720575940616865025,78533786648130112,720575940653053601,[462196 160064 135920],[462136 160136 135880]
217872665,2021-03-09 20:14:58.183080+00:00,,True,181.97919,146.0,0.0019189019,0.99500555,6.6286543e-06,1.0029574e-06,0.002187152,0.0008808629,True,79943291768505585,720575940615378700,79943291768532624,720575940615899622,[542132 285328 121120],[542236 285352 121120]
192466051,2021-03-09 20:14:58.183080+00:00,,True,19.199923,0.0,0.1864392,0.4330256,0.069595195,0.014118386,0.22913347,0.06768815,True,78603880514536440,720575940606745790,78603880514531626,720575940653053601,[464716 144116 140240],[464624 144004 140280]
137933093,2021-03-09 20:14:58.183080+00:00,,True,178.97339,126.0,0.06896007,0.017171074,0.8968505,0.00035497654,0.0037466348,0.012916679,True,80223873526195571,720575940612346408,80223873526185329,720575940623222712,[559424 233104 160080],[559348 233216 160080]
6518988,2021-03-09 20:14:58.183080+00:00,,True,42.523544,0.0,0.3497982,0.12944612,0.19960229,0.0035979815,0.07971975,0.23783562,True,79801180024287638,720575940626727301,79801180024283175,720575940628800207,[533120 205288 144720],[533048 205196 144720]
44221471,2021-03-09 20:14:58.183080+00:00,,True,613.26953,148.0,0.00010246103,0.99881953,1.7927597e-09,1.539877e-05,4.807663e-07,0.0010620789,True,79097561302282866,720575940605777841,79097561302289683,720575940620328828,[494408 208372 154200],[494320 208388 154200]
179350621,2021-03-09 20:14:58.183080+00:00,,True,206.39578,139.0,3.1757205e-05,0.00040968604,0.9995523,7.171258e-09,6.1640053e-06,4.8153836e-08,True,79239398034186315,720575940610708430,79239398034189103,720575940653053601,[502488 276612  81640],[502528 276504  81640]
69709029,2021-03-09 20:14:58.183080+00:00,,True,102.31389,0.0,0.21971634,0.21590912,0.32425106,0.006655906,0.081315964,0.15215169,True,78745373983849709,720575940628236554,78745373983852332,720575940620328828,[474240 189620 148920],[474156 189512 148920]
7618441,2021-03-09 20:14:58.183080+00:00,,True,330.3534,154.0,0.04967254,0.92105854,0.016886283,0.0019428272,0.005907949,0.004531804,True,80013385768424693,720575940623992317,80013385768451885,720575940623222712,[547652 271776 144480],[547648 271880 144560]
7991009,2021-03-09 20:14:58.183080+00:00,,True,181.69269,97.0,0.019273369,0.02717922,0.16695166,4.197425e-05,0.21828514,0.56826866,True,78815536569502476,720575940629749308,78815536569498424,720575940620328828,[476532 175348 145840],[476556 175440 145800]
47457825,2021-03-09 20:14:58.183080+00:00,,True,7.634472,7.0,0.022076264,0.8495669,0.01778875,0.0016281221,0.022495603,0.08644442,True,80504936185730236,720575940612423208,80504936185721771,720575940625963432,[575264 207864 149920],[575388 207892 149960]
8783208,2021-03-09 20:14:58.183080+00:00,,True,49.551773,0.0,0.00068116596,0.00013092106,0.00015219397,0.5464983,0.42350528,0.02903218,True,80083960671072898,720575940625264457,80083960671069621,720575940623222712,[549216 281352 144920],[549284 281320 144880]
127494786,2021-03-09 20:14:58.183080+00:00,,True,68.29742,148.0,0.0021965455,0.9849296,1.2272623e-05,4.7611678e-07,0.009039195,0.003821983,True,79309904351120040,720575940624402173,79309904351121442,720575940628800207,[504696 282764 111400],[504780 282828 111360]
8093702,2021-03-09 20:14:58.183080+00:00,,True,20.223278,2.0,0.29351947,0.023055054,0.0062211165,0.016926851,0.25662997,0.40364754,True,80645536234950057,720575940623222712,80645536234965411,720575940625963432,[583688 202252 144840],[583800 202312 144840]
8783162,2021-03-09 20:14:58.183080+00:00,,True,217.02676,49.0,0.006723068,0.99053454,0.00024051848,0.00028074015,0.00020855396,0.002012533,True,80083891951594691,720575940621031006,80083960671057352,720575940623222712,[549296 281048 144680],[549284 281164 144720]
109611436,2021-03-09 20:14:58.183080+00:00,,True,150.59467,143.0,0.009526852,0.65661937,0.0016627366,4.6677164e-06,0.0055507715,0.32663557,True,80012148885426558,720575940633640493,80012148885438334,720575940615899622,[548064 195328 179280],[547944 195244 179280]
8817790,2021-03-09 20:14:58.183080+00:00,,True,110.25574,177.0,0.009749188,0.9788891,0.005568618,0.00013814135,7.703176e-05,0.0055778744,True,79309904485121029,720575940609695683,79309904485116131,720575940628800207,[505804 281192 145600],[505908 281164 145560]
8093726,2021-03-09 20:14:58.183080+00:00,,True,11.466528,0.0,0.04169821,0.45357287,0.011664072,0.009324443,0.4276483,0.056092132,True,80645536234973858,720575940603017132,80645536234976183,720575940625963432,[583484 202080 145680],[583516 202212 145600]
227945426,2021-03-09 20:14:58.183080+00:00,,True,60.68434,146.0,0.0007584846,0.9969241,1.926899e-06,6.1689825e-06,0.0009237418,0.0013855757,True,80083617006993211,720575940624402173,80083617007003043,720575940623222712,[551028 261256 137160],[551064 261392 137200]
8821299,2021-03-09 20:14:58.183080+00:00,,True,221.58252,3.0,0.84791416,0.13617708,0.0026777845,2.3379338e-05,0.0013972969,0.011810299,True,80083891951565458,720575940634605920,80083891951598710,720575940623222712,[550848 280848 144880],[550760 280804 144840]
160043984,2021-03-09 20:14:58.183080+00:00,,True,275.43277,0.0,0.5283626,0.18093634,0.092343986,0.0045851003,0.010233866,0.18353814,True,79239054771654206,720575940622712979,79309423515864684,720575940653053601,[503452 254900 164920],[503532 254936 164920]
211193528,2021-03-09 20:14:58.183080+00:00,,True,16.379066,0.0,0.054427404,0.065701336,0.0033936687,0.0052360496,0.8173654,0.053876143,True,79380204375808076,720575940623925173,79380204375806787,720575940620328828,[510656 280704 110600],[510584 280636 110640]
47469103,2021-03-09 20:14:58.183080+00:00,,True,237.10306,1.0,0.10014517,0.014836891,0.024258725,0.22454764,0.10673544,0.52947617,True,80434567441541137,720575940613588246,80434567441536396,720575940625963432,[569596 210152 150360],[569532 209960 150320]
9282421,2021-03-09 20:14:58.183080+00:00,,True,63.173203,0.0,0.3926907,0.3131866,0.07384745,0.0036081884,0.062409516,0.15425757,True,80083823232114381,720575940442706462,80083823232106593,720575940615899622,[551268 274916 144720],[551364 274852 144720]
11351855,2021-03-09 20:14:58.183080+00:00,,True,17.2753,0.0,0.14721403,0.09719684,0.121437535,0.022047289,0.5176167,0.09448765,True,78817323477292406,720575940614611643,78817323477300979,720575940628800207,[475260 283124 209160],[475272 283012 209160]
110107135,2021-03-09 20:14:58.183080+00:00,,True,215.94986,150.0,0.93317765,0.001808697,0.06348713,1.5581387e-05,0.0002135205,0.0012974861,True,79308736321557279,720575940634258146,79308736321590452,720575940632409130,[506376 215388 179480],[506248 215336 179520]
110107119,2021-03-09 20:14:58.183080+00:00,,True,283.93915,154.0,0.6900976,0.0058771176,0.29872537,6.534584e-05,0.0022986177,0.0029360235,True,79308736321587640,720575940634258146,79308736321581214,720575940632409130,[506356 215464 179480],[506252 215456 179480]
